Breed,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,Cluster
Miniature Schnauzer,19,30.48,35.56,4.98951607,9.0718474,12,15,1,0.2,0.6,1,0.6,17
Papillon,54,20.32,27.94,2.26796185,4.5359237,14,16,0.4,0.6,0.6,1,1,17
Parson Russell Terrier,117,33.02,35.56,5.89670081,7.71107029,13,15,0.4,0.4,1,0.6,0.8,17
Estrela Mountain Dog,,62.23,73.66,34.92661249,59.87419284,10,14,0.4,0.6,0.4,,,18
Eurasier,,48.26,60.96,18.1436948,31.7514659,12,16,0.6,0.6,0.6,0.6,0.4,18
Jindo,,45.72,55.88,13.6077711,22.6796185,14,14,0.4,0.6,0.8,0.4,0.4,18
Mountain Cur,,40.64,66.04,13.6077711,27.2155422,10,13,0.2,0.6,1,0.2,0.4,18
Schapendoes,,40.64,50.8,11.79340162,24.94758035,12,15,0.4,0.6,0.6,0.8,0.6,18
Slovensky Cuvac,,58.42,69.85,30.84428116,43.99845989,11,13,0.4,0.8,0.4,,,18
Taiwan Dog,,43.18,50.8,11.79340162,18.1436948,9,13,0.4,0.6,1,0.8,0.4,18
Yakutian Laika,,53.34,58.42,18.1436948,24.94758035,10,12,0.4,0.6,0.8,0.2,0.4,18
American Staffordshire Terrier,85,43.18,48.26,18.1436948,31.7514659,12,16,0.2,0.4,0.6,0.6,0.6,19
Brussels Griffon,98,17.78,25.4,3.62873896,4.5359237,12,15,0.6,0.6,0.6,0.6,0.8,19
Cavalier King Charles Spaniel,18,30.48,33.02,5.89670081,8.16466266,12,15,0.4,0.4,0.4,1,0.8,19
Cocker Spaniel,30,34.29,39.37,9.0718474,13.6077711,10,14,0.8,0.4,0.6,1,1,19
English Cocker Spaniel,52,38.1,43.18,11.79340162,15.42214058,12,14,0.6,0.4,0.6,1,0.8,19
English Springer Spaniel,27,48.26,50.8,18.1436948,22.6796185,12,14,0.4,0.4,0.6,1,0.8,19
Miniature Pinscher,70,25.4,31.75,3.62873896,4.5359237,12,16,0.2,0.2,0.6,0.4,0.6,19
